# Data file for nfdc stats\n
  
4611.606000 11 2 2 0 2 7 7 11 6 0 0 5 0
4611.606000 11 2 2 0 2 7 7 11 6 0 0 5 0
4611.606000 11 2 2 0 2 7 7 11 6 0 0 5 0
4617.729000 11 2 2 0 7 505 268 273 504 0 0 503 0
4617.729000 11 2 2 0 7 505 268 273 504 0 0 503 0
4617.729000 11 2 2 0 7 505 268 273 504 0 0 503 0
4623.856000 11 2 2 0 7 1086 565 572 1084 0 0 1084 0
4623.856000 11 2 2 0 7 1086 565 572 1084 0 0 1084 0
4623.856000 11 2 2 0 7 1086 565 572 1084 0 0 1084 0
4629.979000 11 2 2 0 7 1669 864 872 1668 0 0 1667 0
4629.979000 11 2 2 0 7 1669 864 872 1668 0 0 1667 0
4629.979000 11 2 2 0 7 1669 864 872 1668 0 0 1667 0
4636.101000 11 2 2 0 7 2066 1067 1076 2064 0 0 2064 0
4636.101000 11 2 2 0 7 2066 1067 1076 2064 0 0 2064 0
4636.101000 11 2 2 0 7 2066 1067 1076 2064 0 0 2064 0
4642.221000 11 2 2 0 7 2084 1085 1094 2082 0 0 2082 0
4642.221000 11 2 2 0 7 2084 1085 1094 2082 0 0 2082 0
4642.221000 11 2 2 0 7 2084 1085 1094 2082 0 0 2082 0
4648.340000 11 2 2 0 7 2102 1103 1112 2100 0 0 2100 0
4648.340000 11 2 2 0 7 2102 1103 1112 2100 0 0 2100 0
4648.340000 11 2 2 0 7 2102 1103 1112 2100 0 0 2100 0
4654.460000 11 2 2 0 7 2120 1121 1130 2118 0 0 2118 0
4654.460000 11 2 2 0 7 2120 1121 1130 2118 0 0 2118 0
4654.460000 11 2 2 0 7 2120 1121 1130 2118 0 0 2118 0
4700.580000 11 2 2 0 7 2138 1139 1148 2136 0 0 2136 0
4700.580000 11 2 2 0 7 2138 1139 1148 2136 0 0 2136 0
4700.580000 11 2 2 0 7 2138 1139 1148 2136 0 0 2136 0
4706.702000 11 2 2 0 7 2156 1157 1166 2154 0 0 2154 0
4706.702000 11 2 2 0 7 2156 1157 1166 2154 0 0 2154 0
4706.702000 11 2 2 0 7 2156 1157 1166 2154 0 0 2154 0
